product_ids,market_ids,firm_ids,prices,shares,costs,markups,sales,size,weight,hp,mpg,vehicle_type,engine_type,plant_country
2015_hyundai_sonatahybrid,2015,hyundai,0.2775,0.000274707,0.2345837306908147,0.15465322273580295,12980,0.95163605,3.508,1.99,3.75,Car,Hybrid,Korea
2015_hyundai_tucson,2015,hyundai,0.2355,0.000740121,0.1943118239334019,0.17489671365859058,34971,0.8623916114736001,3.294,1.82,2.4,SUV,ICE,Korea
2015_hyundai_veloster,2015,hyundai,0.215,0.00034768,0.17453497809835541,0.18820940419369572,16428,0.8131978646219999,2.657,1.38,3,Car,ICE,Korea
2015_infiniti_q40,2015,infiniti,0.3475,0.000199114,0.30037399182412267,0.13561441201691313,9338,0.910792997,3.7225,3.28,2.1,Car,ICE,Japan
2015_infiniti_q50,2015,infiniti,0.4,0.000820607,0.35136050336527785,0.12159874158680542,38774,0.938884662,3.675,3.28,2.3,Car,ICE,Japan
2015_infiniti_q50hybrid,2015,infiniti,0.462,2.5530197008382377e-05,0.4104917326291007,0.11148975621406776,1175,0.938884662,3.973,3.6,3,Car,Hybrid,Japan
2015_infiniti_q70,2015,infiniti,0.52,9.109374031995988e-05,0.4681608387848685,0.099690695,4280,0.98867077,4.049,3.3,2,Car,ICE,Japan
2015_infiniti_q70l,2015,infiniti,0.535,7.614500573079485e-05,0.48281907788038647,0.097534434,3578,1.018416601,4.129,3.3,1.9,Car,ICE,Japan
2015_infiniti_qx50,2015,infiniti,0.364,4.866610191750856e-05,0.3162926125337529,0.1310642512808986,2276,0.8988402202519999,3.819,3.25,2,Car,ICE,Japan
2015_infiniti_qx60,2015,infiniti,0.424,0.000736396,0.37611541920042973,0.11293533207445815,34795,1.0529221548352001,4.385,2.65,2.3,SUV,ICE,United States
2015_infiniti_qx70,2015,infiniti,0.46575,8.897417816216584e-05,0.4164904834002119,0.1057638574337909,4195,1.0083103521348002,4.265,3.25,1.85,SUV,ICE,Japan
2015_infiniti_qx80,2015,infiniti,0.6325,0.000255744,0.5812191601709701,0.081076427,12084,1.159104787,5.633,4,1.6,SUV,ICE,Japan
2015_jaguar_ftype,2015,jaguar,0.77,4.355125804443623e-05,0.718330248,0.067103574,2048,0.9068888308480001,3.521,3.8,2.2,Car,ICE,Great Britain
2015_jaguar_xf,2015,jaguar,0.65375,0.000112373,0.6031200585852203,0.077445417,5287,1.1094124289976002,4.134,4.05,1.9,Car,ICE,Great Britain
2015_jaguar_xj,2015,jaguar,0.8415,2.302416253951514e-05,0.7892509834908777,0.062090335,1063,1.1651311754315998,4.126,4.05,1.8,Car,ICE,Great Britain
2015_jaguar_xjl,2015,jaguar,0.8915,4.1269508668171414e-05,0.8389051740453565,0.058995879,1950,1.193408257,4.147,4.05,1.8,Car,ICE,Great Britain
2015_jeep_cherokee,2015,jeep,0.27695,0.003635886,0.23111762493079524,0.16548970958369646,171797,0.9251666074559999,4.044,1.8,2.4,SUV,ICE,United States
2015_jeep_compass,2015,jeep,0.2114,0.000865348,0.16805831944296956,0.20502214076173342,40888,0.8682041111015999,3.171,1.72,2.3,SUV,ICE,United States
2015_jeep_grandcherokee,2015,jeep,0.463425,0.003855397,0.411669337,0.11168077512341802,182169,1.11771104,4.8145,2.9,1.95,SUV,ICE,United States
2015_jeep_patriot,2015,jeep,0.21495,0.001892196,0.17150837508861982,0.20210106960400176,89407,0.8352055021023999,3.136,1.72,2.4,SUV,ICE,United States
2015_jeep_renegade,2015,jeep,0.21295,0.001016733,0.1695620862257136,0.20374695362426115,48041,0.920927719,3.158,1.8,2.5,SUV,ICE,Italy
2015_jeep_wrangler,2015,jeep,0.28995,0.0008834,0.2442643746879556,0.15756380518035662,41741,0.878599944,4.055,2.85,1.8,SUV,ICE,United States
2015_jeep_wranglerunlimited,2015,jeep,0.32795,0.002711301,0.2808767767798162,0.14353780521476997,128110,0.9970499361888001,4.273,2.85,1.8,SUV,ICE,United States
