Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,,,,
Ford Motor Company,Lincoln,Corsair,2022_lincoln_corsair,PC,72%,22% MX,,US,,US, ,US,,,,,,
Ford Motor Company,Lincoln,Continental,2022_lincoln_continental,PC,46%,25% MX,,US,,"US (2.7L, 3.7L)",MX (3.0L),,,,,,,
Ford Motor Company,Lincoln,Aviator,2022_lincoln_aviator,MPV,45%,16% MX,,US,,US,MX (HEV),US,,,,,,
Ford Motor Company,Lincoln,MKC,2022_lincoln_mkc,MPV,,,,,,,,,,,,,,
Ford Motor Company,Lincoln,Nautilus,2022_lincoln_nautilus,MPV,45%,15% MX,,CN,,ESP (2.0L),MX (2.7L),US,,,,,,
Ford Motor Company,Lincoln,MKZ,2022_lincoln_mkz,PC,25%,60% MX,,MX,,ESP (2.0L),US (3.0L),US,,,,,,
Ford Motor Company,Lincoln,MKZ,2022_lincoln_mkz,PC,25%,60% MX,,MX,,MX (2.0L e),,US,,,,,,
Ford Motor Company,Lincoln,Navigator,2022_lincoln_navigator,MPV,43%, ,,US,,US,,US,,,,,,
General Motors LLC,Buick,Envision,2022_buick_envision,MPV,1%,94% CH,,CH,,CH,,CH,,,,,,
General Motors LLC,Cadillac,Escalade,2022_cadillac_escalade,MPV,46%,38% M ,,US,,US,,US,,,,,,
General Motors LLC,Chevrolet,Equinox,2022_chevrolet_equinox,MPV,38%,40% M,,M,,US,M,US,,,,,,
General Motors LLC,Chevrolet,"Tahoe, Suburban",2022_chevrolet_tahoe,MPV,46%,38% M,,US,,US,,US,,,,,,
General Motors LLC,GMC,Terrain,2022_gmc_terrain,MPV,38%,40% M,,M,,US,M,US,,,,,,
General Motors LLC,GMC,"Yukon, Yukon EXT",2022_gmc_yukon,MPV,46%,38% M,,US,,US,,US,,,,,,
GM LLC,Chevrolet,Trailblazer,2022_chevrolet_trailblazer,MPV,3%,44% Korea ,29% M,K,,M,,M,,,,,,
GM LLC,Buick,Encore GX,2022_buick_encore,MPV,3%,44% Korea ,29% M,K,,M,,M,,,,,,
GM LLC,Chevrolet,Blazer,2022_chevrolet_blazer,MPV,49%,25% MX, ,"M, Ramos Arizpe",,US,,US,,,,,,
GM LLC,Chevrolet,Traverse,2022_chevrolet_traverse,MPV,49%,25% MX, ,"US, Lansing, MI",,M,,US,,,,,,
GM LLC,Buick,Enclave,2022_buick_enclave,MPV,49%,25% MX, ,"US, Lansing, MI",,M,,US,,,,,,
GM LLC,GMC,Acadia,2022_gmc_acadia,MPV,49%,25% MX, ,"US, Spring Hill, TN",,US,,US,,,,,,
GM LLC,Cadillac,XT5,2022_cadillac_xt5,MPV,49%,25% MX, ,"US, Spring Hill, TN",,US,,US,,,,,,
GM LLC,Cadillac,XT6,2022_cadillac_xt6,MPV,49%,25% MX, ,"US, Spring Hill, TN",,US,,US,,,,,,
GM LLC,Chevrolet,Malibu,2022_chevrolet_malibu,PC,46%,28% M, ,"US, Kansas City, KA",,US, ,US,M,,,,,
GM LLC,Cadillac,XT4,2022_cadillac_xt4,MPV,46%,28% M, ,"US, Kansas City, KA",,US,,US,,,,,,
GM LLC,Buick,Regal,2022_buick_regal,PC,21%,25% Germany,23% Vietnam,"G, Russelsheim ",,US,,J,M,,,,,
GM LLC,Buick,Encore ,2022_buick_encore,MPV,4%,63% Korea, ,"K, Bupyeong",,A,,K,,,,,,
GM LLC,Chevrolet,Trax,2022_chevrolet_trax,MPV,4%,62% Korea, ,"K, Bupyeong",,A,,K,,,,,,
GM LLC,Chevrolet,Sonic,2022_chevrolet_sonic,PC,41%,19% Mexico, ,"US, Lake Orion, MI",,A,,US,,,,,,
GM LLC,Chevrolet,Spark,2022_chevrolet_spark,PC,1%,76% Korea, ,"K, Changwon",,A,,K, ,,,,,
GM LLC,Chevrolet,Colorado,2022_chevrolet_colorado,T,60%,21% M, ,"US, Wentzville, MO",,US,TH,US,,,,,,
GM LLC,GMC,Canyon,2022_gmc_canyon,T,60%,21% M, ,"US, Wentzville, MO",,US,TH,US,,,,,,
GM LLC,Chevrolet,Camaro,2022_chevrolet_camaro,PC,57%,20% M, ,"US, Lansing, MI",,US,,US,M,,,,,
GM LLC,Chevrolet,Bolt,2022_chevrolet_boltev,PC,24%,57% Korea, ,"US, Lake Orion, MI",,K,,K,,,,,,
GM LLC,Chevrolet,Silverado,2022_chevrolet_silverado,T,46%,38% Mexico, ,"US, Roanoke, IN","M, Silao",US,,US,,,,,,
GM LLC,GMC,Sierra,2022_gmc_sierra,T,46%,38% Mexico, ,"US, Roanoke, IN","M, Silao",US,,US,,,,,,
GM LLC,Cadillac,CT6,2022_cadillac_ct6,PC,42%,25% China,22% Mexico,"US, Detroit/Ham, MI",,US,,US,M,,,,,
GM LLC,Chevrolet,Impala,2022_chevrolet_impala,PC,53%,26% Mexico, ,"US, Detroit/Ham, MI","CN, Oshawa Ont",M,,US,,,,,,
GM LLC,Cadillac,CT4,2022_cadillac_ct4,PC,49%,21% China, ,"US, Lansing, MI",,US,,US,,,,,,
